Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Switzerland,7.586999893,1,2015,10.85728264,0.953136325,72.73686218,0.947723985,0.080692194,0.301402122
Iceland,7.56099987,2,2015,10.5685339,0.97524035,72.96855927,0.912811399,0.257894844,0.741834044
Denmark,7.52699995,3,2015,10.63952065,0.957779527,70.32339478,0.932365298,0.137351438,0.200448066
Norway,7.521999836,4,2015,11.04887199,0.945359468,70.7052536,0.951669097,0.144467577,0.388028592
Canada,7.427000046,5,2015,10.64201641,0.941860437,71.44319153,0.916791618,0.285598069,0.444143742
Finland,7.406000137,6,2015,10.53151321,0.940038919,70.84624481,0.92506963,0.000337604,0.310989916
Netherlands,7.377999783,7,2015,10.6516819,0.924070656,70.98093414,0.900468528,0.308452934,0.462236613
Sweden,7.363999844,8,2015,10.65862274,0.927800655,71.63234711,0.942244232,0.164319962,0.271875322
New Zealand,7.285999775,9,2015,10.40868282,0.940630615,71.54219055,0.922872722,0.307063699,0.286465794
Australia,7.28399992,10,2015,10.66437435,0.936251402,72.37998199,0.934129834,0.25703004,0.401746958
Israel,7.277999878,11,2015,10.34241581,0.90049237,71.74086761,0.708291948,0.125072718,0.842475355
Costa Rica,7.225999832,12,2015,9.506083488,0.906340837,69.80422211,0.917542577,0.027591037,0.798209369
Austria,7.199999809,13,2015,10.67555904,0.931142211,70.89360809,0.90860188,0.124014005,0.670133412
Mexico,7.186999798,14,2015,9.704608917,0.770774841,68.1481781,0.773391962,-0.117483959,0.628418803
United States,7.118999958,15,2015,10.85116482,0.910210848,69.85884094,0.834320545,0.213130787,0.714229286
Brazil,6.982999802,16,2015,9.584126472,0.904241323,63.90522003,0.781625569,-0.111135721,0.688408315
Luxembourg,6.946000099,17,2015,11.37051392,0.898687541,71.92420959,0.900537312,0.059813842,0.367547631
Ireland,6.940000057,18,2015,10.67164707,0.961508632,71.07107544,0.90237534,0.286741734,0.51146704
Belgium,6.936999798,19,2015,10.58537292,0.926372409,71.11927032,0.870814443,-0.013645837,0.608997643
United Arab Emirates,6.901000023,20,2015,10.95158863,0.859333575,67.96046448,0.924950719,0.039416384,0.355115891
United Kingdom,6.867000103,21,2015,10.45831871,0.926294088,71.58045197,0.881961286,0.363087177,0.45823577
Oman,6.853000164,22,2015,10.74571037,0.840915978,66.28063202,0.916573584,-0.022635838,0.450995088
