Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Internet Use
Switzerland,7.586999893188477,1,2015,10.857282638549805,0.9531363248825073,72.73686218261719,0.9477239847183228,0.08069219440221786,0.30140212178230286,87.4790556
Iceland,7.560999870300293,2,2015,10.568533897399902,0.9752403497695923,72.96855926513672,0.9128113985061646,0.2578948438167572,0.7418340444564819,98.2
Denmark,7.5269999504089355,3,2015,10.639520645141602,0.9577795267105103,70.32339477539062,0.9323652982711792,0.13735143840312958,0.20044806599617004,96.33050162
Norway,7.521999835968018,4,2015,11.048871994018555,0.945359468460083,70.70525360107422,0.9516690969467163,0.1444675773382187,0.3880285918712616,96.81032569
Canada,7.427000045776367,5,2015,10.642016410827637,0.9418604373931885,71.44319152832031,0.9167916178703308,0.2855980694293976,0.44414374232292175,90.0
Finland,7.406000137329102,6,2015,10.531513214111328,0.9400389194488525,70.84624481201172,0.9250696301460266,0.00033760373480618,0.3109899163246155,86.42213333
Netherlands,7.377999782562256,7,2015,10.651681900024414,0.9240706562995911,70.9809341430664,0.9004685282707214,0.30845293402671814,0.462236613035202,91.72413793
Sweden,7.363999843597412,8,2015,10.658622741699219,0.9278006553649902,71.6323471069336,0.9422442317008972,0.1643199622631073,0.2718753218650818,90.61019664
New Zealand,7.285999774932861,9,2015,10.408682823181152,0.9406306147575378,71.54219055175781,0.9228727221488953,0.3070636987686157,0.2864657938480377,88.22288882
Australia,7.283999919891357,10,2015,10.664374351501465,0.9362514019012451,72.3799819946289,0.9341298341751099,0.25703004002571106,0.4017469584941864,84.56051491
Israel,7.2779998779296875,11,2015,10.342415809631348,0.9004923701286316,71.7408676147461,0.7082919478416443,0.12507271766662598,0.8424753546714783,77.35208966
Costa Rica,7.22599983215332,12,2015,9.506083488464355,0.9063408374786377,69.8042221069336,0.917542576789856,0.02759103663265705,0.7982093691825867,59.76295014
Austria,7.199999809265137,13,2015,10.675559043884277,0.9311422109603882,70.89360809326172,0.9086018800735474,0.1240140050649643,0.6701334118843079,83.94014193
Mexico,7.186999797821045,14,2015,9.704608917236328,0.7707748413085938,68.14817810058594,0.7733919620513916,-0.1174839586019516,0.6284188032150269,57.43104299
United States,7.11899995803833,15,2015,10.851164817810059,0.9102108478546143,69.85884094238281,0.8343205451965332,0.21313078701496124,0.7142292857170105,74.55420245
Brazil,6.982999801635742,16,2015,9.584126472473145,0.9042413234710693,63.90522003173828,0.7816255688667297,-0.11113572120666504,0.6884083151817322,58.32795173
Luxembourg,6.946000099182129,17,2015,11.370513916015625,0.8986875414848328,71.92420959472656,0.9005373120307922,0.05981384217739105,0.3675476312637329,96.37671417
Ireland,6.940000057220459,18,2015,10.671647071838379,0.9615086317062378,71.07107543945312,0.902375340461731,0.2867417335510254,0.5114670395851135,83.49479167
Belgium,6.936999797821045,19,2015,10.585372924804688,0.9263724088668823,71.11927032470703,0.8708144426345825,-0.0136458370834589,0.608997642993927,85.05294175
United Arab Emirates,6.901000022888184,20,2015,10.95158863067627,0.8593335747718811,67.96046447753906,0.9249507188796997,0.03941638395190239,0.3551158905029297,90.5
United Kingdom,6.867000102996826,21,2015,10.458318710327148,0.9262940883636475,71.58045196533203,0.8819612860679626,0.36308717727661133,0.4582357704639435,92.00029987
Oman,6.853000164031982,22,2015,10.745710372924805,0.8409159779548645,66.28063201904297,0.9165735840797424,-0.022635838016867638,0.4509950876235962,73.53
Singapore,6.797999858856201,24,2015,11.241599082946777,0.815000593662262,75.76549530029297,0.8309823274612427,0.09882055222988129,0.18695588409900665,79.012957
Panama,6.785999774932861,25,2015,9.836421012878418,0.8898327946662903,67.5036392211914,0.8305909037590027,0.014091258868575096,0.818980872631073,51.20542499
Germany,6.75,26,2015,10.647017478942871,0.9321190118789673,70.9455337524414,0.8995320200920105,0.06210402026772499,0.6200229525566101,87.58979935
Chile,6.670000076293945,27,2015,9.970168113708496,0.8587943315505981,69.7425765991211,0.734980046749115,0.127505362033844,0.7620264291763306,76.62959195
Qatar,6.611000061035156,28,2015,11.758369445800781,0.8395673036575317,67.52985382080078,0.9238383173942566,0.11746855825185776,0.13951779901981354,92.88482645
France,6.574999809265137,29,2015,10.49329662322998,0.9157708883285522,72.89418029785156,0.8381864428520203,-0.1396135836839676,0.6389638185501099,78.00603771
Argentina,6.573999881744385,30,2015,9.80569076538086,0.9106807112693787,67.1648178100586,0.7429638504981995,-0.15080033242702484,0.831423282623291,68.04306411
Czech Republic,6.505000114440918,31,2015,10.190384864807129,0.8931576609611511,69.24623107910156,0.7561570405960083,-0.16051803529262543,0.9237059354782104,75.6688387
Uruguay,6.485000133514404,32,2015,9.830703735351562,0.8941913843154907,68.04554748535156,0.8889533877372742,-0.0010694591328501701,0.5770559310913086,64.5707871
Colombia,6.4770002365112305,33,2015,9.392128944396973,0.9073063731193542,63.679222106933594,0.8235294222831726,-0.06252986937761307,0.8846532106399536,55.90497251
Thailand,6.454999923706055,34,2015,9.540180206298828,0.9177285432815552,65.40387725830078,0.844383955001831,0.4357149004936218,0.9152401685714722,39.31612674
Saudi Arabia,6.410999774932861,35,2015,10.853924751281738,0.841798722743988,64.74455261230469,0.6108540296554565,-0.12216280400753021,0.4509950876235962,69.6162358
Spain,6.328999996185303,36,2015,10.347150802612305,0.9381626844406128,73.24969482421875,0.752232015132904,-0.06473450362682343,0.8644226789474487,78.68963187
Malta,6.302000045776367,37,2015,10.277512550354004,0.9332326054573059,70.77765655517578,0.8889788389205933,0.3610503673553467,0.7506893873214722,75.96001898
Kuwait,6.295000076293945,39,2015,11.340804100036621,0.8761795163154602,64.91339874267578,0.8428182601928711,-0.09012999385595322,0.5604239106178284,78.0
Suriname,6.269000053405762,40,2015,9.627368927001953,0.7948756814002991,60.69547653198242,0.8822646737098694,-0.08043808490037918,0.7499344348907471,42.76382778
Trinidad and Tobago,6.168000221252441,41,2015,10.291106224060059,0.8835610747337341,60.935279846191406,0.8464715480804443,0.10820252448320389,0.9476316571235657,69.19847061
El Salvador,6.130000114440918,42,2015,8.91977596282959,0.8171254992485046,63.194881439208984,0.6990979909896851,-0.16043221950531006,0.7793200016021729,26.80260496
Guatemala,6.123000144958496,43,2015,8.861490249633789,0.8248773217201233,61.998294830322266,0.8640090227127075,0.05289330706000328,0.8157826662063599,28.80594156
Uzbekistan,6.002999782562256,44,2015,8.514753341674805,0.9493328332901001,60.316898345947266,0.9407415986061096,-0.006184043828397989,0.4778735637664795,42.8
Japan,5.986999988555908,46,2015,10.471689224243164,0.9144045114517212,74.53201293945312,0.7869929075241089,-0.16026867926120758,0.679879903793335,91.05802839
Ecuador,5.974999904632568,48,2015,9.224761962890625,0.8062088489532471,67.29204559326172,0.7771221399307251,-0.1496572047472,0.6794140338897705,48.94043379
Bahrain,5.960000038146973,49,2015,10.634261131286621,0.8972700238227844,65.71680450439453,0.7478792667388916,-0.07572245597839355,0.4814511239528656,93.4783008
Italy,5.947999954223633,50,2015,10.411602020263672,0.8895272612571716,73.20764923095703,0.5652011036872864,-0.0063630579970777035,0.9197708964347839,58.14173496
Bolivia,5.889999866485596,51,2015,8.66466236114502,0.7975656986236572,58.20220947265625,0.8609810471534729,-0.03540688753128052,0.8264214396476746,37.49
Moldova,5.888999938964844,52,2015,8.398367881774902,0.8130191564559937,61.05904006958008,0.6276445984840393,-0.03013521432876587,0.9401169419288635,69.00000447
Paraguay,5.877999782562256,53,2015,8.905372619628906,0.9343829154968262,62.602806091308594,0.8276343941688538,0.13863562047481537,0.8352539539337158,49.71630466
Kazakhstan,5.855000019073486,54,2015,10.017345428466797,0.8579321503639221,61.97776412963867,0.8062893748283386,-0.14602096378803253,0.8318967223167419,70.8299336
Slovenia,5.8480000495910645,55,2015,10.208767890930176,0.9214188456535339,70.27749633789062,0.8936301469802856,0.02545168250799179,0.9057469964027405,73.09865997
Lithuania,5.833000183105469,56,2015,10.093050956726074,0.914543092250824,65.1429672241211,0.5187776684761047,-0.2626955211162567,0.9493498802185059,71.37805901
Nicaragua,5.828000068664551,57,2015,8.394598007202148,0.8660771250724792,65.57179260253906,0.842583954334259,0.05703826621174812,0.659991443157196,19.7042915
Peru,5.823999881744385,58,2015,9.335644721984863,0.7959612607955933,65.1028060913086,0.7099705934524536,-0.10595263540744781,0.8708942532539368,40.85260091
Belarus,5.813000202178955,59,2015,9.739522933959961,0.9042463898658752,65.31640625,0.6762153506278992,-0.15593722462654114,0.6635808944702148,62.23036091
Poland,5.790999889373779,60,2015,10.026569366455078,0.9237797856330872,66.86853790283203,0.8202614784240723,-0.08338040858507156,0.8990240693092346,67.99698716
Malaysia,5.769999980926514,61,2015,10.024459838867188,0.8360581398010254,64.87776184082031,0.819335401058197,0.12384553253650665,0.7995063066482544,71.06406781
Croatia,5.758999824523926,62,2015,9.89470386505127,0.7211950421333313,67.19452667236328,0.5618574619293213,-0.22709210216999054,0.9272215366363525,69.84503592
Libya,5.754000186920166,63,2015,10.044644355773926,0.8563433885574341,64.15023040771484,0.7116057872772217,-0.06387268751859665,0.7912402749061584,19.01607978
Jamaica,5.709000110626221,65,2015,9.060291290283203,0.8699275851249695,63.55769729614258,0.7948381304740906,-0.02659490332007408,0.9292964339256287,42.22122119
Cyprus,5.689000129699707,67,2015,10.279736518859863,0.761833667755127,72.09119415283203,0.7021554112434387,0.09289097040891647,0.8684161305427551,71.71574092
Algeria,5.605000019073486,68,2015,9.455523490905762,0.8391971588134766,61.03742599487305,0.5874276161193848,-0.19688531756401062,0.6905938386917114,38.2
Turkmenistan,5.547999858856201,70,2015,9.5143404006958,0.901644766330719,58.18998336791992,0.7679696679115295,-0.0805906131863594,0.4775893986225128,14.99677482
Mauritius,5.4770002365112305,71,2015,9.664976119995117,0.8004148006439209,64.35600280761719,0.8481937646865845,0.18314863741397858,0.8466601371765137,50.13931848
Estonia,5.428999900817871,73,2015,10.106879234313965,0.902161717414856,66.67274475097656,0.7421472668647766,-0.18598899245262146,0.7253896594047546,88.4097035
Indonesia,5.39900016784668,74,2015,9.115155220031738,0.8431195020675659,61.770023345947266,0.7584970593452454,0.3583013415336609,0.9656716585159302,22.0627426
Vietnam,5.360000133514404,75,2015,8.513903617858887,0.769831120967865,65.7024154663086,0.8802416324615479,-0.08210129290819168,0.8004491329193115,45.0
Turkey,5.331999778747559,76,2015,9.828620910644531,0.7841106653213501,65.15909576416016,0.5327503085136414,-0.1406082957983017,0.7165085077285767,53.74497914
Nigeria,5.26800012588501,78,2015,8.581940650939941,0.7665029764175415,44.50241470336914,0.6420271992683411,0.04964805766940117,0.9018919467926025,24.5
Bhutan,5.252999782562256,79,2015,8.93779468536377,0.8501935601234436,59.462215423583984,0.8210668563842773,0.31337887048721313,0.72126704454422,39.8
Azerbaijan,5.211999893188477,80,2015,9.714889526367188,0.7805948853492737,61.86105728149414,0.6676005125045776,-0.19717778265476227,0.7114471197128296,77.0
Pakistan,5.193999767303467,81,2015,8.401280403137207,0.560996949672699,57.31555938720703,0.4311131238937378,0.1314113289117813,0.8000802993774414,11.0
Jordan,5.191999912261963,82,2015,9.341126441955566,0.8292204737663269,63.88249588012695,0.7020519375801086,-0.15585744380950928,0.7394909858703613,60.11438269
