,Population density (people per sq. km of land area),Country,Year,Score
0,52.7120715,Afghanistan,2015,3.575
1,54.19696106,Afghanistan,2016,3.36
2,55.59555035,Afghanistan,2017,3.794
3,56.93704929,Afghanistan,2018,3.632
4,58.26939466,Afghanistan,2019,3.203
5,59.62739485,Afghanistan,2020,2.566900015
43,23.13506216,Angola,2016,3.866
44,23.9165549,Angola,2017,3.795
45,24.71307211,Angola,2018,3.795
138,93.79178787,Benin,2015,3.34
139,96.41780773,Benin,2016,3.484
140,99.10599503,Benin,2017,3.657
169,3.811206395,Botswana,2016,3.974
170,3.890875726,Botswana,2017,3.766
171,3.97732077,Botswana,2018,3.59
172,4.064903923,Botswana,2019,3.488
173,4.149462707,Botswana,2020,3.478899956
198,66.19377193,Burkina Faso,2015,3.587
199,68.15186404,Burkina Faso,2016,3.739
204,395.6399533,Burundi,2015,2.905
205,408.4112928,Burundi,2016,2.905
206,421.6125389,Burundi,2017,2.905
207,435.17831,Burundi,2018,2.905
208,449.0100078,Burundi,2019,3.775
209,463.0366433,Burundi,2020,3.775300026
216,87.93017788,Cambodia,2015,3.819
217,89.31730116,Cambodia,2016,3.907
246,7.212384025,Central African Republic,2015,3.678
248,7.377480818,Central African Republic,2017,2.693
249,7.490409002,Central African Republic,2018,3.083
250,7.616904234,Central African Republic,2019,3.083
251,7.752679059,Central African Republic,2020,3.475899935
258,11.20629844,Chad,2015,3.667
259,11.56421379,Chad,2016,3.763
260,11.92563612,Chad,2017,3.936
288,417.751209,Comoros,2015,3.956
289,427.5104782,Comoros,2016,3.956
292,457.222461,Comoros,2019,3.973
510,7.558854349,Gabon,2015,3.896
576,46.52489012,Guinea,2015,3.656
577,47.77158554,Guinea,2016,3.607
578,49.11084161,Guinea,2017,3.507
579,50.52210646,Guinea,2018,3.964
596,398.4893687,Haiti,2017,3.603
597,403.5988026,Haiti,2018,3.582
598,408.6748549,Haiti,2019,3.597
599,413.7348694,Haiti,2020,3.720799923
671,464.1494102,India,2020,3.573299885
830,68.89104084,Lesotho,2017,3.808
831,69.44423584,Lesotho,2018,3.808
832,70.00220685,Lesotho,2019,3.802
833,70.56166008,Lesotho,2020,3.652800083
835,47.62030731,Liberia,2016,3.622
836,48.81877076,Liberia,2017,3.533
837,50.03089701,Liberia,2018,3.495
838,51.26011213,Liberia,2019,3.975
888,41.65362668,Madagascar,2015,3.681
889,42.78853558,Madagascar,2016,3.695
890,43.95068924,Madagascar,2017,3.644
891,45.13976109,Madagascar,2018,3.774
892,46.35494328,Madagascar,2019,3.933
896,187.4224968,Malawi,2017,3.97
897,192.4397009,Malawi,2018,3.587
898,197.589616,Malawi,2019,3.41
899,202.9057594,Malawi,2020,3.538000107
912,14.29184963,Mali,2015,3.995
1062,15.79037104,Niger,2015,3.845
1063,16.41176995,Niger,2016,3.856
1218,460.8458046,Rwanda,2015,3.465
1219,472.9967167,Rwanda,2016,3.515
1220,485.6489664,Rwanda,2017,3.471
1221,498.6610863,Rwanda,2018,3.408
1222,511.8337252,Rwanda,2019,3.334
1223,525.0186056,Rwanda,2020,3.312299967
1248,75.72040721,Senegal,2015,3.904
1271,110.5151704,Sierra Leone,2020,3.926399946
1333,17.14155227,South Sudan,2016,3.832
1334,17.26541057,South Sudan,2017,3.591
1335,17.36894371,South Sudan,2018,3.254
1336,17.50533581,South Sudan,2019,2.853
1337,17.71361108,South Sudan,2020,2.816600084
1428,58.11993452,Tanzania,2015,3.781
1429,59.8884974,Tanzania,2016,3.666
1430,61.70732107,Tanzania,2017,3.349
1431,63.57354256,Tanzania,2018,3.303
1432,65.48369948,Tanzania,2019,3.231
1433,67.43532739,Tanzania,2020,3.476200104
1446,134.6416988,Togo,2015,2.839
1447,138.0759698,Togo,2016,3.303
1448,141.5421217,Togo,2017,3.495
1449,145.0467917,Togo,2018,3.999
1494,190.6315929,Uganda,2015,3.931
1495,197.7317624,Uganda,2016,3.739
1589,24.72989413,Zambia,2020,3.759399891
1592,36.80134161,Zimbabwe,2017,3.875
1593,37.32405842,Zimbabwe,2018,3.692
1594,37.85827323,Zimbabwe,2019,3.663
1595,38.42038775,Zimbabwe,2020,3.299200058
