Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Switzerland,7.5870,1,2015,10.8573,0.9531,72.7369,0.9477,0.0807,0.3014
Iceland,7.5610,2,2015,10.5685,0.9752,72.9686,0.9128,0.2579,0.7418
Denmark,7.5270,3,2015,10.6395,0.9578,70.3234,0.9324,0.1374,0.2004
Norway,7.5220,4,2015,11.0489,0.9454,70.7053,0.9517,0.1445,0.3880
Canada,7.4270,5,2015,10.6420,0.9419,71.4432,0.9168,0.2856,0.4441
Finland,7.4060,6,2015,10.5315,0.9400,70.8462,0.9251,0.0003,0.3110
Netherlands,7.3780,7,2015,10.6517,0.9241,70.9809,0.9005,0.3085,0.4622
Sweden,7.3640,8,2015,10.6586,0.9278,71.6323,0.9422,0.1643,0.2719
New Zealand,7.2860,9,2015,10.4087,0.9406,71.5422,0.9229,0.3071,0.2865
Australia,7.2840,10,2015,10.6644,0.9363,72.3800,0.9341,0.2570,0.4017
Israel,7.2780,11,2015,10.3424,0.9005,71.7409,0.7083,0.1251,0.8425
Costa Rica,7.2260,12,2015,9.5061,0.9063,69.8042,0.9175,0.0276,0.7982
Austria,7.2000,13,2015,10.6756,0.9311,70.8936,0.9086,0.1240,0.6701
Mexico,7.1870,14,2015,9.7046,0.7708,68.1482,0.7734,-0.1175,0.6284
United States,7.1190,15,2015,10.8512,0.9102,69.8588,0.8343,0.2131,0.7142
Brazil,6.9830,16,2015,9.5841,0.9042,63.9052,0.7816,-0.1111,0.6884
Luxembourg,6.9460,17,2015,11.3705,0.8987,71.9242,0.9005,0.0598,0.3675
Ireland,6.9400,18,2015,10.6716,0.9615,71.0711,0.9024,0.2867,0.5115
Belgium,6.9370,19,2015,10.5854,0.9264,71.1193,0.8708,-0.0136,0.6090
United Arab Emirates,6.9010,20,2015,10.9516,0.8593,67.9605,0.9250,0.0394,0.3551
United Kingdom,6.8670,21,2015,10.4583,0.9263,71.5805,0.8820,0.3631,0.4582
Oman,6.8530,22,2015,10.7457,0.8409,66.2806,0.9166,-0.0226,0.4510
Venezuela,6.8100,23,2015,9.7773,0.9139,64.7544,0.7234,-0.2220,0.7905
Singapore,6.7980,24,2015,11.2416,0.8150,75.7655,0.8310,0.0988,0.1870
Panama,6.7860,25,2015,9.8364,0.8898,67.5036,0.8306,0.0141,0.8190
Germany,6.7500,26,2015,10.6470,0.9321,70.9455,0.8995,0.0621,0.6200
Chile,6.6700,27,2015,9.9702,0.8588,69.7426,0.7350,0.1275,0.7620
Qatar,6.6110,28,2015,11.7584,0.8396,67.5299,0.9238,0.1175,0.1395
France,6.5750,29,2015,10.4933,0.9158,72.8942,0.8382,-0.1396,0.6390
Argentina,6.5740,30,2015,9.8057,0.9107,67.1648,0.7430,-0.1508,0.8314
