,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Afghanistan,2015,52.7120715,3.575,153.0,7.5563,0.5144,49.6801,0.5384,0.1675,0.8119
1,Afghanistan,2016,54.19696106,3.36,154.0,0.3823,0.1104,0.1734,0.1643,0.3127,0.0711
2,Afghanistan,2017,55.59555035,3.794,141.0,0.401,0.582,0.181,0.106,0.312,0.061
3,Afghanistan,2018,56.93704929,3.632,145.0,0.332,0.537,0.255,0.085,0.191,0.036
4,Afghanistan,2019,58.26939466,3.203,154.0,0.35,0.517,0.361,0.0,0.158,0.025
5,Afghanistan,2020,59.62739485,2.566900015,153.0,7.4629,0.4704,52.59,0.3966,-0.0964,0.9337
6,Albania,2015,105.135146,4.959,95.0,9.2697,0.7246,68.1052,0.6553,-0.115,0.8642
7,Albania,2016,104.9671898,4.655,109.0,0.9553,0.5016,0.7301,0.3187,0.1684,0.053
8,Albania,2017,104.8706934,4.644,109.0,0.996,0.804,0.731,0.381,0.201,0.04
9,Albania,2018,104.6122628,4.586,112.0,0.916,0.817,0.79,0.419,0.149,0.032
10,Albania,2019,104.1675547,4.719,107.0,0.947,0.848,0.874,0.383,0.178,0.027
11,Albania,2020,103.5672628,4.882699966,105.0,9.4179,0.6711,68.7081,0.782,-0.0423,0.8963
12,Algeria,2015,16.68024357,5.605,68.0,9.4555,0.8392,61.0374,0.5874,-0.1969,0.6906
13,Algeria,2016,17.02594783,6.355,38.0,1.0527,0.8331,0.618,0.2101,0.0704,0.1616
14,Algeria,2017,17.37769724,5.872,53.0,1.092,1.146,0.618,0.233,0.069,0.146
15,Algeria,2018,17.73006175,5.295,84.0,0.979,1.154,0.687,0.077,0.055,0.135
16,Algeria,2019,18.07629545,5.211,88.0,1.002,1.16,0.785,0.086,0.073,0.114
17,Algeria,2020,18.41133986,5.005099773,100.0,9.538,0.8034,65.9052,0.4666,-0.1211,0.7355
18,Argentina,2015,15.76063274,6.574,30.0,9.8057,0.9107,67.1648,0.743,-0.1508,0.8314
19,Argentina,2016,15.92813508,6.65,26.0,1.1514,1.0661,0.6971,0.4228,0.1099,0.073
20,Argentina,2017,16.09419079,6.599,24.0,1.185,1.44,0.695,0.495,0.109,0.06
21,Argentina,2018,16.2585101,6.388,29.0,1.073,1.468,0.744,0.57,0.062,0.054
22,Argentina,2019,16.42082662,6.086,47.0,1.092,1.432,0.881,0.471,0.066,0.05
23,Argentina,2020,16.58089261,5.974699974,55.0,9.811,0.9006,68.8038,0.8311,-0.1949,0.842
24,Armenia,2015,102.7593607,4.35,127.0,8.931,0.7132,65.0931,0.5046,-0.1965,0.9039
25,Armenia,2016,103.131261,4.36,121.0,0.8609,0.6248,0.6408,0.1404,0.0779,0.0362
26,Armenia,2017,103.4348086,4.376,121.0,0.901,1.007,0.638,0.198,0.083,0.027
27,Armenia,2018,103.6789954,4.321,129.0,0.816,0.99,0.666,0.26,0.077,0.028
28,Armenia,2019,103.889287,4.559,116.0,0.85,1.055,0.815,0.283,0.095,0.064
29,Armenia,2020,104.0826835,4.676799774,116.0,9.1005,0.7575,66.7507,0.712,-0.1388,0.7735
30,Australia,2015,3.100112596,7.284,10.0,10.6644,0.9363,72.38,0.9341,0.257,0.4017
31,Australia,2016,3.144935531,7.313,9.0,1.4444,1.1048,0.8512,0.5684,0.4741,0.3233
32,Australia,2017,3.198361419,7.284,10.0,1.484,1.51,0.844,0.602,0.478,0.301
33,Australia,2018,3.24787091,7.272,10.0,1.34,1.573,0.91,0.647,0.361,0.302
34,Australia,2019,3.297670183,7.228,11.0,1.372,1.548,1.036,0.557,0.332,0.29
