Sum of wat_sm_number_without,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,(blank),Grand Total
Afghanistan,18509220.76,19243448.25,19950748.54,20717891.77,21436557.29,22035154.65,22492140.05,22739014.62,22920117.07,23208845.94,23606658.55,24103904.63,24673943.87,25276442.63,25854552.42,26369007.23,26810000.11,27191632.46,27529334.99,27846963.93,28188417.2,,500703997
Albania,1591587.112,1593606.2,1594829.656,1593760.575,1530163.383,1463816.754,1394682.868,1323311.168,1251263.7,1180271.469,1111388.405,1044708.105,979692.5821,915859.6433,852578.3328,850046.1167,848133.0449,846880.1947,845986.1768,845091.2609,843928.1774,,24501584.93
Algeria,9288298.025,9233478.296,9176866.654,9122056.711,9072872.346,9032254.912,9000871.325,8978835.899,8966462.915,8965022.49,8973924.056,8993079.581,9021622.12,9058227.336,9352665.703,9719709.665,10110059.21,10523212.29,11030132.29,11564159.9,12111019.55,,201294831.3
American Samoa,12817.17531,12263.90844,11673.65106,11038.0764,10351.61808,9608.535428,8819.56644,8000.111789,7180.781888,6388.755423,5638.097562,4923.999652,4235.43276,3556.526882,2876.785691,2191.909564,1503.452084,911.0216029,908.466247,906.0256148,904.1418562,,126698.0398
Andorra,6120.503511,6303.398997,6556.491178,6849.651483,7136.996973,7382.328401,7581.131391,7739.037722,7849.293466,7905.548602,7904.892891,7838.814628,7715.164786,7560.075142,7414.335697,7300.146178,7234.815284,7206.920217,7207.94824,7220.863356,7232.001347,,153260.3595
Armenia,617479.3713,610048.5092,602875.0128,595788.2526,588492.0847,580788.7979,572438.1382,563606.6703,554954.9847,547390.7571,541505.6045,523658.6839,507249.1593,491632.6518,476508.1546,464314.6113,451588.5594,429258.37,415517.8331,401571.6514,387867.7582,,10924535.62
Austria,286108.5199,270410.5014,254850.6601,239280.429,223525.6102,207498.9931,191200.3393,174702.4946,158075.5623,141390.5594,124668.0773,107871.9593,92312.68504,93036.02191,93816.8428,94647.58865,95537.41729,96472.2453,97407.27888,98271.58645,99012.58321,,3240097.955
Azerbaijan,3424257.132,3311102.727,3195127.367,3075710.496,2952089.089,2823762.795,2690440.132,2552133.659,2408998.487,2261086.53,2107716.392,1948616.856,1809668.692,1693120.898,1571248.538,1443825.459,1392860.329,1340041.654,1285373.5,1231437.427,1183975.369,,45702593.53
Bahrain,7749.896214,8023.865682,8340.17861,8711.486612,9152.51494,9666.230062,10267.84859,10934.49511,11668.57869,12318.61734,12807.17402,13097.9349,13225.51038,13370.39838,13584.36014,13948.14925,14496.57706,15190.84693,15957.09023,16686.33529,17300.63883,,256498.7273
Bangladesh,57103829.21,58187171.8,59288650.96,60362235.71,61388727.06,62355667.48,63255953.93,64097046.37,64901683.18,65702227.39,66523352,67372496.46,67637381.76,67876873.27,68080514.65,68238808.77,68351127.78,68418697.51,68438805.67,68408852.93,68326533.43,,1364316637
Belarus,1913996.713,1884110.012,1853601.095,1823286.775,1680260.783,1543360.866,1412359.337,1286733.719,1166035.216,1049846.308,936885.5287,827828.9325,722716.4558,621103.7459,522618.1277,520571.4488,518472.1752,516310.8878,514058.8028,511697.556,509210.064,,22335064.55
Belgium,59830.9958,60046.97374,60313.39622,60628.34608,60983.61055,61372.39947,61794.85819,62249.79052,62721.97934,63193.91338,58230.31975,53170.04414,48020.67353,42788.84637,37484.20569,32111.41073,26671.57752,21164.48552,15588.34493,9945.54675,9989.272168,,968300.9904
Bhutan,421326.0501,427048.6727,432458.5407,437338.3617,441504.6596,444918.7334,448028.8144,450274.0388,451980.5,453638.9158,455563.2469,457859.2458,460457.7562,463277.5899,466185.4724,469083.4048,472289.6937,475944.8018,480348.2376,484652.612,488833.9647,,9583013.313
Bosnia and Herzegovina,474524.4994,470463.6198,466366.5254,462161.6943,457888.1977,453540.7172,449100.6822,444371.8679,438994.7466,432539.6571,424768.8373,415530.8233,407279.1896,396853.1506,389397.4621,383226.8372,378131.9199,373967.6784,370594.9463,367738.339,365181.5879,,8822622.979
Brazil,41956555.23,41532455.39,41206789.86,41217821.33,41209726.83,41182843.34,41136600.17,41072476.16,40994226.38,40907637.69,40815137.05,40712919.01,40605745.22,39379430.77,38127999.8,36853370.3,35686001.43,34238917.84,32897696.17,31530623.03,30256414.67,,813521387.7
Bulgaria,823356.8294,775702.7655,728987.7321,683144.135,638111.3087,593834.7532,550263.5934,507361.3498,465114.3802,423509.3162,382518.4415,342112.9154,302238.8104,262832.85,223845.7051,197819.3061,191376.1008,184911.9063,178441.7689,171985.9289,165558.0802,,8793027.977
